Questionnaire,Section,Item #,Question,Coverage - AI Provided,Current Answer,Additional Info Added,Current Status,Flags/Notes,Proposed Answer,Plain English,Flag Risk,Gap Description,Required Fix - File,Required Fix - Text,Required Fix - Words
AWS Questionnaire,AWS Account Management,1,Is the AWS Organizations service used for managing all AWS accounts?,Partial,No,,,,No. Millie operates a small number of AWS accounts directly and does not use AWS Organizations at this time; account boundaries are managed per Information Security Framework §4 Access Control & Identity Management.,Do you use AWS Organizations (the AWS tool for centrally governing many AWS accounts) to manage all your AWS accounts together?,Medium,Assessor may push back on absence of Organizations/SCP; defensible at Millie's scale but should be noted.,N/A,N/A — no fix needed.,0
AWS Questionnaire,AWS Account Management,2,"Are separate AWS accounts being used for different development stages? (Dev, Staging, Production).",Partial,No,,,,No. Environment isolation is handled at the application layer via Aptible environments and AWS resource separation rather than separate AWS accounts per stage.,"Do you split your development, testing, and live (production) systems into completely separate AWS accounts?",Medium,Best-practice expects separate accounts per stage; Millie's current posture is single-account with logical separation.,N/A,N/A — no fix needed.,0
AWS Questionnaire,AWS Account Management,3,Is a dedicated AWS account being used for security audit and logging functions?,Partial,No,,,,"No. Logging (CloudTrail, CloudWatch) and GuardDuty findings are retained in the production account; a dedicated audit account is not used at Millie's scale.",Do you keep a separate AWS account dedicated solely to security monitoring and audit logs?,Medium,Best-practice expects a separate logging account; documented as accepted risk under Contingency Planning Policy multi-vendor review.,N/A,N/A — no fix needed.,0
AWS Questionnaire,AWS Account Management,4,Is a shared email alias/group being used for the Root account of each AWS account?,Full,Yes,,,,"Yes. The AWS Root account uses a shared email alias managed within Millie's Google Workspace, per Information Security Framework §4 Access Control & Identity Management.","Is your top-level AWS ""root"" account owned by a shared team email instead of one person's personal email?",Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,AWS Account Management,5,Does each Root account have multi-factor authentication (MFA) enabled and no active access keys?,Full,Yes,,,,"Yes. The Root account has MFA enabled and no active access keys, consistent with Information Security Framework §4 and the Password Management Policy.",Does the top-level AWS root account require a second login factor (like a phone code) and have no long-lived API keys lying around?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,AWS Account Management,6,Has the Root account been used in the last 7 days?,Full,Yes -- to turn on guard duty,,,,"Yes — Root was used recently to enable GuardDuty; routine operations are performed via IAM users per Information Security Framework §4 (""root access is not used for routine operations"").",Has anyone logged into the all-powerful AWS root account in the past week (which they generally shouldn't have to)?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,AWS Account Management,7,Does the AWS organization implement Service Control Policies (SCP)?,N/A,No (we don't use AWS Organizations),,,,N/A. Millie does not use AWS Organizations and therefore does not implement Service Control Policies; access is constrained via IAM policies on individual accounts.,Do you use AWS Service Control Policies (organization-wide guardrails) to block dangerous actions across all your AWS accounts?,None,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Encryption,1,Are encryption at rest features implemented for RDS and other data stores?,Full,Yes,,,link aptible https://www.aptible.com/docs/core-concepts/managed-databases/managing-databases/database-encryption/database-encryption,"Yes. Databases hosted via Aptible are encrypted at rest, per Information Security Framework §5 Data Storage & Protection and the Encryption Policy (Aptible managed-database encryption reference).",Are your AWS databases scrambled (encrypted) while sitting on disk so a stolen drive would be unreadable?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Encryption,2,Is volume encryption implemented for all EC2 volumes and snapshots?,Partial,,,,,"Millie does not run general-purpose EC2 instances for application workloads (compute is on Aptible); volumes used by AWS-managed services and any incidental EC2 are encrypted, consistent with Information Security Framework §5.","Are all the hard drives attached to your AWS servers, plus their backups, scrambled (encrypted) while at rest?",Medium,Source CSV left this row blank; recommend confirming with infra owner that all EBS volumes/snapshots are encrypted before submission.,N/A,N/A — no fix needed.,0
AWS Questionnaire,Identity and Access Management,1,Is SAML based single sign-on being used for IAM access?,Partial,No we use basic IAM access with 2FA required,,,,"No SAML SSO; AWS IAM users authenticate directly with 2FA required, per Information Security Framework §4 Access Control & Identity Management and the Password Management Policy.",Do AWS users log in through your central single-sign-on system rather than with separate AWS-only passwords?,Medium,SAML-based SSO is a common best-practice ask; Millie's compensating control is mandatory MFA on every IAM user.,N/A,N/A — no fix needed.,0
AWS Questionnaire,Identity and Access Management,2,Does any AWS account have IAM users configured with console access?,Full,Yes,,,,"Yes. A small set of named IAM users have console access, each protected by MFA per Information Security Framework §4 and the Password Management Policy.",Do any of your AWS accounts still have individual usernames and passwords for the AWS web console?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Identity and Access Management,3,Does any AWS account have access keys configured for programmatic access?,Full,Yes,,,For deploying via aptible and writing to s3 from the backend.,"Yes. Access keys are used for Aptible deploys and for backend writes to S3, scoped by least-privilege IAM policies per Information Security Framework §4.",Do any of your AWS accounts still issue long-lived API access keys for programs to use?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Identity and Access Management,4,Does any AWS account have access keys that have not been used in > 90 days? (Or never used),Partial,Yes one that is tied to staging account,,,"this one will be used once SES is fully set up, verify again next week",One staging-tied access key has not yet been used pending SES setup; it will be activated or removed in the next periodic review per Information Security Framework §4.,Do you have any AWS API keys sitting unused for more than 90 days (which should be deleted)?,Medium,Honest disclosure of an unused key; commit to remove or activate within the next access review.,N/A,N/A — no fix needed.,0
AWS Questionnaire,Identity and Access Management,5,Does any AWS account have access keys that have not been rotated in > 90 days?,Full,No,,,,"No. Access keys are rotated within the 90-day window, consistent with Information Security Framework §4 access review practice.",Do you have any AWS API keys that haven't been refreshed/rotated in the last 90 days?,Low,—,N/A,N/A — no fix needed.,0
