Questionnaire,Section,#,Question,Answer,Status,Task Owner,Notes,Remediate before submitting
AWS Questionnaire,AWS Account Management,1,Is the AWS Organizations service used for managing all AWS accounts?,No,,zoe.h@millieclinic.com,,
AWS Questionnaire,AWS Account Management,2,"Are separate AWS accounts being used for different development stages? (Dev, Staging, Production).",No,,zoe.h@millieclinic.com,,
AWS Questionnaire,AWS Account Management,3,Is a dedicated AWS account being used for security audit and logging functions?,No,,zoe.h@millieclinic.com,,
AWS Questionnaire,AWS Account Management,4,Is a shared email alias/group being used for the Root account of each AWS account?,Yes,,zoe.h@millieclinic.com,,
AWS Questionnaire,AWS Account Management,5,Does each Root account have multi-factor authentication (MFA) enabled and no active access keys?,Yes,,zoe.h@millieclinic.com,,
AWS Questionnaire,AWS Account Management,6,Has the Root account been used in the last 7 days?,Yes -- to turn on guard duty,,zoe.h@millieclinic.com,,
AWS Questionnaire,AWS Account Management,7,Does the AWS organization implement Service Control Policies (SCP)?,No (we don't use AWS Organizations),,zoe.h@millieclinic.com,,
AWS Questionnaire,Encryption,1,Are encryption at rest features implemented for RDS and other data stores?,Yes,,zoe.h@millieclinic.com,,link aptible https://www.aptible.com/docs/core-concepts/managed-databases/managing-databases/database-encryption/database-encryption 
AWS Questionnaire,Encryption,2,Is volume encryption implemented for all EC2 volumes and snapshots?,,,Chase Schwalbach,,
AWS Questionnaire,Identity and Access Management,1,Is SAML based single sign-on being used for IAM access?,No we use basic IAM access with 2FA required,,zoe.h@millieclinic.com,,
AWS Questionnaire,Identity and Access Management,2,Does any AWS account have IAM users configured with console access?,Yes,,zoe.h@millieclinic.com,,
AWS Questionnaire,Identity and Access Management,3,Does any AWS account have access keys configured for programmatic access?,Yes,,zoe.h@millieclinic.com,,For deploying via aptible and writing to s3 from the backend.
AWS Questionnaire,Identity and Access Management,4,Does any AWS account have access keys that have not been used in > 90 days? (Or never used),Yes one that is tied to staging account,,zoe.h@millieclinic.com,,"this one will be used once SES is fully set up, verify again next week"
AWS Questionnaire,Identity and Access Management,5,Does any AWS account have access keys that have not been rotated in > 90 days?,No,,zoe.h@millieclinic.com,,
AWS Questionnaire,Identity and Access Management,6,Does any AWS account have an IAM role that has not been used in > 90 days? (Or never used),Yes snowflake user,,zoe.h@millieclinic.com,,flush out good comment for snowflake
AWS Questionnaire,Identity and Access Management,7,"Does any AWS account have IAM users, groups or roles with AWS managed policies that permit full administrator access or full access to S3 or IAM services?",Yes,,zoe.h@millieclinic.com,,
AWS Questionnaire,Identity and Access Management,8,Do all RDS instances use IAM based authentication for database access?,"N/A, we access RDS via Aptible integration",,zoe.h@millieclinic.com,,
AWS Questionnaire,Identity and Access Management,9,Is the AWS Secrets Manager or SSM Parameter Store being used for secrets management?,No,,zoe.h@millieclinic.com,,
AWS Questionnaire,Network Security,1,Do any security groups permit non-HTTP service access from the Internet?,No,,zoe.h@millieclinic.com,,
AWS Questionnaire,Network Security,2,"Are private subnets being used for internal servers, databases and other resources?","No - All of our subnets are associated with a private local route table, but we do have a public one in our account. We need to update our private route table to be the Main one then we should be able to delete the public one.",,zoe.h@millieclinic.com,,"maybe fix, but not confident how to solve if it breaks something?"
AWS Questionnaire,Network Security,3,Are all RDS instances in private subnets and not publicly accessible?,Yes,,zoe.h@millieclinic.com,,
AWS Questionnaire,Network Security,4,Are security groups for outbound network access implemented for each VPC?,"Yes. Security groups are implemented for all VPC resources. Inbound access is restricted by security group policy, and outbound access is managed through security groups, NAT gateways, and centralized monitoring controls.",,zoe.h@millieclinic.com,,added missing outbound rule
AWS Questionnaire,Network Security,5,Do any S3 buckets permit open access permissions or allow access to any authenticated AWS user?,No,,zoe.h@millieclinic.com,,
AWS Questionnaire,Network Security,6,Are block public access settings enabled for all S3 buckets?,Yes,,zoe.h@millieclinic.com,,
AWS Questionnaire,Detection and Monitoring,1,Is the AWS Config service enabled in all active regions?,No,,zoe.h@millieclinic.com,,"we might want to consider this, but might be ok to wait to see if they come back with us wanting to do this rather than doing it proactively "
AWS Questionnaire,Detection and Monitoring,2,Is CloudTrail data events or access logs enabled for S3 buckets?,Yes,,zoe.h@millieclinic.com,,
AWS Questionnaire,Detection and Monitoring,3,Is the GuardDuty service or other intrusion monitoring enabled in all active regions?,Yes,,zoe.h@millieclinic.com,,turned this on
AWS Questionnaire,Processes,1,Are resources deployed within AWS using infrastructure as code (IaC) such as Terraform or CloudFormation?,Yes,,zoe.h@millieclinic.com,"Terraform project manages the infrastructure for our application. It uses Aptible for hosting the app, Cloudflare for DNS and security, and AWS S3 for centralized state management. This README guides you through setting up and working with the project",
AWS Questionnaire,Processes,2,Are custom AMIs being regularly updated using a pipeline such as EC2 Image Builder or Packer?,No,,zoe.h@millieclinic.com,,
AWS Questionnaire,Processes,3,Has an AWS specific incident response plan been created and tested?,Yes,,zoe.h@millieclinic.com,,AWS and Aptible Security Incident Management Policy
AWS Questionnaire,Processes,4,Are S3 object and RDS snapshot backups stored in a dedicated AWS account for backups?,No,,zoe.h@millieclinic.com,,
AWS Questionnaire,Processes,5,Are servers and databases hosted within AWS accessed through a secure remote access solution?,Yes,,zoe.h@millieclinic.com,,
ISD IT Risk Assessment,Request Details,1,Are you aware of the current situation or the issue that needs to be addressed?,,,,,
ISD IT Risk Assessment,Request Details,2,Do you have a clear understanding of the project's objective?,,,,,
ISD IT Risk Assessment,Request Details,3,Select the type of service(s) that are applicable,,,,,
ISD IT Risk Assessment,Request Details,4,Who is the intended end-user?,,,,,
ISD IT Risk Assessment,Request Details,5,Who is the system administrator by default?,,,,,
ISD IT Risk Assessment,Request Details,6,Does it require data conversion?,,,,,
ISD IT Risk Assessment,Request Details,7,Will this request require data from a legacy system to be archived?,,,,,
ISD IT Risk Assessment,Request Details,8,Will training be necessary due to significant changes in end-user workflow?,,,,,
ISD IT Risk Assessment,Server & Storage Requirements,1,Do you know the type of server infrastructure currently in use?,,,,,
ISD IT Risk Assessment,Network Requirements,1,Will this project require a new port to be enabled?,,,,,
ISD IT Risk Assessment,Network Requirements,2,Will a new WAN circuit need to be enabled?,,,,,
ISD IT Risk Assessment,Network Requirements,3,Will a site-to-site VPN be required?,,,,,
ISD IT Risk Assessment,Identity & Access Management,1,What Identity and Access Management authentication method will be used?,,,,,
ISD IT Risk Assessment,Identity & Access Management,2,Is multi-factor authentication available?,,,,,
ISD IT Risk Assessment,Identity & Access Management,3,Is vendor remote access service required?,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,1,Will this system be accessible over the internet?,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,2,Does this service need antivirus or security exclusions?,,,,,
