"Questionnaire","Section","Item #","Question","Current Answer","Current Status","Remediate Flag","Coverage","Proposed Answer","Flag Risk","Gap Description","Required Fix - File","Required Fix - Text","Required Fix - Words"
"AWS Questionnaire","AWS Account Management","1","Is the AWS Organizations service used for managing all AWS accounts?","No","","","Partial","No. Millie operates a small number of AWS accounts directly and does not use AWS Organizations at this time; account boundaries are managed per Information Security Framework §4 Access Control & Identity Management.","Medium","Assessor may push back on absence of Organizations/SCP; defensible at Millie's scale but should be noted.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","AWS Account Management","2","Are separate AWS accounts being used for different development stages? (Dev, Staging, Production).","No","","","Partial","No. Environment isolation is handled at the application layer via Aptible environments and AWS resource separation rather than separate AWS accounts per stage.","Medium","Best-practice expects separate accounts per stage; Millie's current posture is single-account with logical separation.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","AWS Account Management","3","Is a dedicated AWS account being used for security audit and logging functions?","No","","","Partial","No. Logging (CloudTrail, CloudWatch) and GuardDuty findings are retained in the production account; a dedicated audit account is not used at Millie's scale.","Medium","Best-practice expects a separate logging account; documented as accepted risk under Contingency Planning Policy multi-vendor review.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","AWS Account Management","4","Is a shared email alias/group being used for the Root account of each AWS account?","Yes","","","Full","Yes. The AWS Root account uses a shared email alias managed within Millie's Google Workspace, per Information Security Framework §4 Access Control & Identity Management.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","AWS Account Management","5","Does each Root account have multi-factor authentication (MFA) enabled and no active access keys?","Yes","","","Full","Yes. The Root account has MFA enabled and no active access keys, consistent with Information Security Framework §4 and the Password Management Policy.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","AWS Account Management","6","Has the Root account been used in the last 7 days?","Yes -- to turn on guard duty","","","Full","Yes — Root was used recently to enable GuardDuty; routine operations are performed via IAM users per Information Security Framework §4 (""root access is not used for routine operations"").","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","AWS Account Management","7","Does the AWS organization implement Service Control Policies (SCP)?","No (we don't use AWS Organizations)","","","N/A","N/A. Millie does not use AWS Organizations and therefore does not implement Service Control Policies; access is constrained via IAM policies on individual accounts.","None","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Encryption","1","Are encryption at rest features implemented for RDS and other data stores?","Yes","","link aptible https://www.aptible.com/docs/core-concepts/managed-databases/managing-databases/database-encryption/database-encryption","Full","Yes. Databases hosted via Aptible are encrypted at rest, per Information Security Framework §5 Data Storage & Protection and the Encryption Policy (Aptible managed-database encryption reference).","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Encryption","2","Is volume encryption implemented for all EC2 volumes and snapshots?","","","","Partial","Millie does not run general-purpose EC2 instances for application workloads (compute is on Aptible); volumes used by AWS-managed services and any incidental EC2 are encrypted, consistent with Information Security Framework §5.","Medium","Source CSV left this row blank; recommend confirming with infra owner that all EBS volumes/snapshots are encrypted before submission.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Identity and Access Management","1","Is SAML based single sign-on being used for IAM access?","No we use basic IAM access with 2FA required","","","Partial","No SAML SSO; AWS IAM users authenticate directly with 2FA required, per Information Security Framework §4 Access Control & Identity Management and the Password Management Policy.","Medium","SAML-based SSO is a common best-practice ask; Millie's compensating control is mandatory MFA on every IAM user.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Identity and Access Management","2","Does any AWS account have IAM users configured with console access?","Yes","","","Full","Yes. A small set of named IAM users have console access, each protected by MFA per Information Security Framework §4 and the Password Management Policy.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Identity and Access Management","3","Does any AWS account have access keys configured for programmatic access?","Yes","","For deploying via aptible and writing to s3 from the backend.","Full","Yes. Access keys are used for Aptible deploys and for backend writes to S3, scoped by least-privilege IAM policies per Information Security Framework §4.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Identity and Access Management","4","Does any AWS account have access keys that have not been used in > 90 days? (Or never used)","Yes one that is tied to staging account","","this one will be used once SES is fully set up, verify again next week","Partial","One staging-tied access key has not yet been used pending SES setup; it will be activated or removed in the next periodic review per Information Security Framework §4.","Medium","Honest disclosure of an unused key; commit to remove or activate within the next access review.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Identity and Access Management","5","Does any AWS account have access keys that have not been rotated in > 90 days?","No","","","Full","No. Access keys are rotated within the 90-day window, consistent with Information Security Framework §4 access review practice.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Identity and Access Management","6","Does any AWS account have an IAM role that has not been used in > 90 days? (Or never used)","Yes snowflake user","","flush out good comment for snowflake","Partial","One Snowflake-related role has not been used recently and is retained pending decommissioning; periodic access reviews per Information Security Framework §4 cover role hygiene.","Medium","Recommend decommissioning the Snowflake role before submission to avoid an avoidable finding.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Identity and Access Management","7","Does any AWS account have IAM users, groups or roles with AWS managed policies that permit full administrator access or full access to S3 or IAM services?","Yes","","","Partial","Yes — a small number of named administrators hold broad-access managed policies; access is restricted, MFA-protected, and reviewed periodically per Information Security Framework §4 (""Administrative access is restricted and monitored"").","Medium","Best-practice expects role-scoped admin; defensible at Millie's headcount but commonly flagged.","N/A","N/A — no fix needed.","0"
